Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
48.80006,-64.48286,67.9,4.612,-4
48.79991,-64.48255,66.2,4.64,-5
48.799605,-64.48185,64.3,4.701,-4
48.7993,-64.48115,62.6,4.763,-3
48.79892,-64.48021,59.9,4.844,-3
48.79854,-64.47927,55.3,4.925,-4
48.79834,-64.47879,54.7,4.966,-4
48.79795,-64.47781,55.7,5.05,0
48.79767,-64.47712,55.6,5.11,1
48.797405,-64.47647,54.7,5.166,-1
48.79714,-64.47582,53.8,5.222,-2
48.79677,-64.47492,52.9,5.299,-1
48.79649,-64.47422,51.9,5.36,-1
48.79621,-64.47352,53.6,5.42,1
48.79588,-64.47272,53.8,5.489,1
48.79555,-64.47192,55.2,5.558,1
48.795235,-64.47117,55,5.623,1
48.79492,-64.47042,54,5.688,-1
48.79482,-64.4702,53.7,5.708,-1
48.79471,-64.47,53.6,5.727,-1
48.79459,-64.46975,53.6,5.75,-1
48.79452,-64.46963,53.4,5.762,-1
48.79425,-64.46916,53,5.807,-1
48.79413,-64.469,52.7,5.825,-1
48.79397,-64.46876,52,5.85,-2
48.79382,-64.46856,50.9,5.872,-2
48.79364,-64.46832,49.9,5.899,-3
48.79338,-64.46802,48.1,5.935,-4
48.79324,-64.46786,47.3,5.955,-4
48.79309,-64.4677,46.5,5.975,-4
48.79281,-64.46743,43.7,6.012,-5
48.79226,-64.46694,40.5,6.083,-6
48.79207,-64.46678,40.3,6.107,-5
48.79186,-64.46661,40.1,6.134,-3
48.79157,-64.46639,38,6.17,-4
48.79127,-64.46616,37,6.207,-3
48.79082,-64.46579,36.1,6.264,-3
48.7903,-64.46538,36,6.33,-1
48.789745,-64.464945,36.2,6.399,0
48.78919,-64.46451,39.4,6.469,2
48.78917,-64.46451,39.5,6.471,2
48.78915,-64.46451,39.6,6.473,3
48.78905,-64.46443,39.6,6.486,2
48.78835,-64.463875,41.3,6.574,2
48.78765,-64.46332,41.1,6.662,1
48.78763,-64.4633,41,6.664,1
48.786917,-64.46274,42,6.754,0
48.786203,-64.46218,45,6.843,2
48.78549,-64.46162,46.1,6.932,2
48.78494,-64.4612,43.9,7.001,-1
48.78479,-64.46107,43,7.02,-1
48.78468,-64.46098,42.4,7.034,-4
48.78417,-64.46057,41,7.098,-3
48.78365,-64.46016,40,7.164,-2
48.78291,-64.45958,37,7.256,-3
48.78219,-64.459,33.7,7.347,-3
48.78161,-64.4585,29.5,7.421,-5
48.78111,-64.45806,26.6,7.486,-5
48.7806,-64.45758,22.6,7.552,-5
48.78015,-64.45717,20,7.611,-5
48.77979,-64.45682,19,7.658,-3
48.77953,-64.45658,18.3,7.692,-3
48.77941,-64.45647,18,7.708,-3
48.77925,-64.45633,17.8,7.729,-2
48.77913,-64.45623,17,7.744,-2
48.77904,-64.45616,17,7.755,-2
48.77894,-64.45609,17,7.767,-2
48.77882,-64.45602,17,7.782,-2
48.77871,-64.45596,16.7,7.795,-2
48.77859,-64.45589,16,7.809,-2
48.77848,-64.45585,16,7.822,-2
48.77833,-64.4558,16,7.839,-2
48.77818,-64.45576,16,7.856,-1
48.77804,-64.45573,15.6,7.871,-1
48.7779,-64.45572,15,7.887,-2
48.77763,-64.45569,15,7.917,-1
